위치	식별자
1	0
2	3
3	5
4	8
5	1
6	1
7	2
8	2
9	3
10	6
11	11
12	7
13	6
14	10
15	4
16	1
17	9
18	1
19	5
20	1
21	3
22	9
23	5
24	10
25	7
26	9
27	2
28	6
29	3
30	11
31	8
32	4
33	2
34	4
35	4
36	7
37	9
38	5
39	9
40	11
41	10
42	7
43	3
44	10
45	2
46	10
47	11
48	11
49	5
50	3
51	5
52	7
53	9
54	6
55	5
56	4
57	11
58	4
59	6
60	6
61	10
62	1
63	4
64	11
65	8
66	2
67	6
68	10
69	8
70	2
71	4
72	5
73	6
74	2
75	7
76	8
77	8
78	11
79	7
80	6
81	5
82	8
83	11
84	2
85	9
86	7
87	10
88	1
89	1
90	9
91	1
92	8
93	3
94	10
95	9
96	3
97	4
98	8
99	7
100	3
